"full_name","spkid","orbit_id","a","e","i","q","ad","om","w","ma","n","tp","neo","pha"
" 11405 (1999 CV3)",20011405,"JPL 656",1.46,0.3939,22.86,0.885,2.03,141.25,96.40,153.90,0.5589,2460325.15,Y,N
" 11500 Tomaiyowit (1989 UR)",20011500,"JPL 213",1.08,0.3558,10.31,0.696,1.46,234.39,289.52,323.61,0.8783,2460641.94,Y,Y
" 11885 Summanus (1990 SS)",20011885,"JPL 82",1.703,0.4744,19.43,0.895,2.51,359.78,116.20,59.35,0.4434,2460466.64,Y,N
" 12538 (1998 OH)",20012538,"JPL 592",1.542,0.4058,24.54,0.916,2.17,220.69,321.79,317.04,0.5149,2460683.93,Y,Y
" 12711 Tukmit (1991 BB)",20012711,"JPL 413",1.186,0.2722,38.49,0.863,1.51,294.96,322.88,291.28,0.7629,2460690.59,Y,N
" 12923 Zephyr (1999 GK4)",20012923,"JPL 450",1.963,0.4918,5.30,0.998,2.93,168.17,147.13,51.56,0.3584,2460456.63,Y,Y
" 13651 (1997 BR)",20013651,"JPL 171",1.335,0.3057,17.25,0.927,1.74,116.63,133.86,262.62,0.6386,2460752.98,Y,Y
" 14827 Hypnos (1986 JK)",20014827,"JPL 86",2.841,0.6649,1.98,0.952,4.73,57.93,238.19,21.63,0.2058,2460495.41,Y,Y
" 16816 (1997 UF9)",20016816,"JPL 298",1.442,0.6038,25.92,0.571,2.31,37.14,158.01,95.46,0.5689,2460432.72,Y,N
" 16834 (1997 WU22)",20016834,"JPL 584",1.468,0.4421,16.00,0.819,2.12,260.76,334.39,247.48,0.5541,2460803.57,Y,N
" 16960 (1998 QS52)",20016960,"JPL 410",2.201,0.8590,17.52,0.310,4.09,260.15,243.25,308.68,0.3019,2460770.48,Y,Y
" 17181 (1999 UM3)",20017181,"JPL 101",2.37,0.6740,10.65,0.773,3.97,113.56,36.78,275.92,0.2702,2460911.71,Y,N
" 17182 (1999 VU)",20017182,"JPL 261",1.387,0.5533,9.26,0.620,2.15,333.48,203.23,25.70,0.6033,2460557.89,Y,N
" 17188 (1999 WC2)",20017188,"JPL 185",2.216,0.6369,29.45,0.805,3.63,269.76,287.25,172.44,0.2989,2460023.52,Y,N
" 17511 (1992 QN)",20017511,"JPL 357",1.19,0.3587,9.58,0.763,1.62,355.89,202.44,10.89,0.7596,2460586.16,Y,N
" 20236 (1998 BZ7)",20020236,"JPL 50",2.034,0.5610,6.51,0.893,3.17,111.23,104.58,42.72,0.3399,2460474.80,Y,N
" 20425 (1998 VD35)",20020425,"JPL 31",1.565,0.4764,6.99,0.819,2.31,227.25,296.32,32.70,0.5035,2460535.55,Y,Y
" 20429 (1998 YN1)",20020429,"JPL 115",1.556,0.4642,6.30,0.834,2.28,61.73,147.72,42.37,0.5078,2460517.06,Y,N
" 20826 (2000 UV13)",20020826,"JPL 471",2.418,0.6362,31.92,0.880,3.96,347.28,198.70,93.36,0.2621,2460244.32,Y,N
" 22099 (2000 EX106)",20022099,"JPL 297",1.104,0.2762,9.85,0.799,1.41,136.43,186.56,320.17,0.8491,2460647.41,Y,N
" 22753 (1998 WT)",20022753,"JPL 265",1.219,0.5699,3.20,0.524,1.91,307.36,324.80,165.33,0.7324,2460374.75,Y,Y
" 22771 (1999 CU3)",20022771,"JPL 471",1.576,0.5243,11.40,0.750,2.40,338.91,305.83,256.93,0.4982,2460807.40,Y,N
" 23187 (2000 PN9)",20023187,"JPL 401",1.847,0.5893,51.33,0.759,2.94,164.29,293.53,167.50,0.3926,2460173.89,Y,Y
" 24443 (2000 OG)",20024443,"JPL 135",2.311,0.8224,25.74,0.410,4.21,178.08,231.22,307.38,0.2806,2460788.02,Y,N
" 24445 (2000 PM8)",20024445,"JPL 475",2.211,0.5459,23.78,1.004,3.42,203.16,219.08,119.45,0.2998,2460202.14,Y,N
" 24761 Ahau (1993 BW2)",20024761,"JPL 223",1.335,0.3058,21.92,0.927,1.74,121.04,287.55,245.98,0.6391,2460778.91,Y,N
" 25143 Itokawa (1998 SF36)",20025143,"JPL 218",1.324,0.2803,1.62,0.953,1.70,69.08,162.82,142.57,0.6469,2460380.09,Y,Y
" 25330 (1999 KV4)",20025330,"JPL 443",1.541,0.3708,14.33,0.969,2.11,50.52,86.10,129.11,0.5154,2460349.98,Y,N
" 26379 (1999 HZ1)",20026379,"JPL 26",1.606,0.5763,8.68,0.681,2.53,252.10,200.60,239.86,0.4842,2460848.61,Y,N
" 26663 (2000 XK47)",20026663,"JPL 137",1.546,0.4717,13.53,0.817,2.28,303.59,231.23,108.78,0.5127,2460388.33,Y,Y
" 27002 (1998 DV9)",20027002,"JPL 109",1.744,0.4333,8.70,0.988,2.50,130.34,0.82,203.62,0.428,2460965.86,Y,Y
" 29075 (1950 DA)",20029075,"JPL 265",1.699,0.5077,12.16,0.836,2.56,356.59,224.76,223.31,0.4451,2460907.61,Y,Y
" 30825 (1990 TG1)",20030825,"JPL 575",2.436,0.6812,8.74,0.777,4.10,205.02,33.67,40.46,0.2592,2460444.38,Y,N
" 30997 (1995 UO5)",20030997,"JPL 68",1.56,0.6432,36.26,0.556,2.56,38.62,151.17,206.27,0.506,2460904.34,Y,N
" 31662 (1999 HP11)",20031662,"JPL 27",1.597,0.5479,18.82,0.722,2.47,13.94,312.03,158.87,0.4882,2460275.07,Y,N
